filename,onset,offset,event_label
10001_mix.wav,2.88075,3.8514375,Cheering
10001_mix.wav,5.4796875,6.450375,Fireworks
10002_mix.wav,0.43837499999999996,3.4756875,Fireworks
10002_mix.wav,5.13525,6.074625,Bark
10002_mix.wav,7.6089375,8.7988125,Fireworks
10003_mix.wav,0.25049999999999994,1.189875,Fireworks
10003_mix.wav,2.5989375,4.5403125,Shout
10003_mix.wav,5.2291875,6.199875,Fireworks
10003_mix.wav,7.7655,8.5483125,Meow
10004_mix.wav,0.7201875,2.7868125,Meow
10004_mix.wav,4.6029375,5.573625,Shatter
10004_mix.wav,7.076625,8.0473125,Church_bell
10004_mix.wav,8.078625,9.0493125,Cough
10005_mix.wav,0.5949375,1.565625,Cheering
10005_mix.wav,3.38175,4.38375,Shatter
10005_mix.wav,7.577625,8.5483125,Cough
10006_mix.wav,2.066625,2.7241874999999998,Camera
10006_mix.wav,4.38375,6.325125,Cough
10006_mix.wav,7.4836875,8.454375,Church_bell
10007_mix.wav,0.8767499999999999,1.503,Camera
10008_mix.wav,0.2191875,0.5323125,Church_bell
10008_mix.wav,0.5636249999999999,1.1585625,Cheering
10008_mix.wav,2.567625,4.571625,Church_bell
10008_mix.wav,5.511,6.4816875,Fireworks
10008_mix.wav,7.6089375,9.4250625,Church_bell
10009_mix.wav,0.9706874999999999,1.941375,Shout
10009_mix.wav,3.444375,4.4150625,Fireworks
10009_mix.wav,7.828125,9.8008125,Fireworks
10010_mix.wav,0.09393750000000001,0.313125,Scratching_(performance_technique)
10010_mix.wav,0.34443749999999995,2.066625,Cheering
10010_mix.wav,4.321125,5.2918125,Church_bell
10010_mix.wav,5.323125,6.2938125,Fireworks
10010_mix.wav,7.327125,8.2978125,Church_bell
10011_mix.wav,2.191875,3.13125,Meow
10011_mix.wav,6.7321875,9.018,Bark
10012_mix.wav,0.2818125,1.9726875000000001,Shatter
10012_mix.wav,2.567625,3.2878125,Burping_and_eructation
10012_mix.wav,5.1665625,6.13725,Burping_and_eructation
10012_mix.wav,7.953375,9.6129375,Shout
10013_mix.wav,1.2525,2.7555,Camera
10013_mix.wav,5.323125,6.1059375,Doorbell
10014_mix.wav,2.7868125,3.7888125,Fireworks
10014_mix.wav,7.702875,9.1745625,Scratching_(performance_technique)
10014_mix.wav,9.205875,9.6129375,Meow
10015_mix.wav,1.189875,2.1605625,Fireworks
10015_mix.wav,4.5403125,5.4796875,Church_bell
10015_mix.wav,6.826125,8.4230625,Doorbell
10016_mix.wav,0.4070625,2.9746875,Cheering
10016_mix.wav,3.006,3.6009375,Shout
10016_mix.wav,3.63225,4.7281875,Cheering
10016_mix.wav,5.573625,7.014,Camera
10016_mix.wav,7.6715625,8.64225,Bark
10017_mix.wav,0.9706874999999999,1.5343125,Cough
10017_mix.wav,4.6655625,5.6049375,Camera
10017_mix.wav,7.076625,8.0473125,Church_bell
10018_mix.wav,0.187875,0.5323125,Camera
10018_mix.wav,0.5636249999999999,1.2838125,Shatter
10018_mix.wav,2.7555,3.2878125,Shatter
10018_mix.wav,5.072625,6.074625,Camera
10018_mix.wav,7.64025,8.6109375,Bark
10019_mix.wav,0.34443749999999995,1.2211874999999999,Bark
10019_mix.wav,4.195875,6.1685625,Cheering
10019_mix.wav,6.7948125,8.1099375,Burping_and_eructation
10019_mix.wav,8.14125,8.7988125,Fireworks
10020_mix.wav,0.9706874999999999,2.066625,Meow
10020_mix.wav,6.9200625,8.2351875,Cheering
10020_mix.wav,8.2665,8.7675,Meow
10021_mix.wav,0.2818125,1.2525,Meow
10021_mix.wav,2.5989375,3.569625,Bark
10021_mix.wav,5.949375,6.450375,Shout
10021_mix.wav,7.577625,8.5483125,Camera
10022_mix.wav,0.37575000000000003,1.3151249999999999,Cough
10022_mix.wav,4.070625,4.88475,Fireworks
10022_mix.wav,6.826125,7.7655,Shatter
10023_mix.wav,2.8181249999999998,4.2585,Cough
10023_mix.wav,6.0433125,8.0473125,Shout
10024_mix.wav,1.1272499999999999,1.4716875,Fireworks
10024_mix.wav,1.503,2.567625,Camera
10024_mix.wav,3.945375,5.323125,Cough
10024_mix.wav,7.4836875,9.456375,Fireworks
10025_mix.wav,0.9080625,2.2231875,Meow
10025_mix.wav,4.1019375,5.0413125,Cough
10025_mix.wav,6.9826875,8.955375,Shatter
10026_mix.wav,0.313125,1.2838125,Cough
10026_mix.wav,2.943375,3.9140625,Fireworks
10026_mix.wav,5.323125,6.074625,Shout
10026_mix.wav,6.1059375,6.700875,Burping_and_eructation
10026_mix.wav,7.64025,8.6109375,Fireworks
10027_mix.wav,2.943375,3.9140625,Scratching_(performance_technique)
10027_mix.wav,3.945375,4.7281875,Fireworks
10027_mix.wav,7.702875,8.203875,Shout
